website_value,age,gender,gender_identity,yearly_income,Now please mark two in the options below,investment_types,platform_historical_stock,use_tradingview.com,platform_decision,narrative_tracking_platform,premium_onedollar
8,26-35,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,5,5,Dont know
9,46-55,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,8,3,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,No,9,3,Yes
8,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,No,8,6,Yes
5,26-35,Female,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,6,10,x
7,26-35,Male,,25.000-34.999 USD,2,Yes in stocks,Yes,No,8,9,No
8,26-35,Male,,65.000-74.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,7,Yes
5,18-25,Female,,>75.000 USD,2,Yes in stocks,Yes,Yes,8,4,Yes
8,36-45,Female,,35.000-44.999 USD,2,Yes in crypto,Yes,Yes,10,10,Yes
10,18-25,Male,/,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,9,Yes
10,26-35,Female,,45.000-54.999 USD,2,Yes in stocks,No,No,10,10,No
7,18-25,Female,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,5,5,No
7,46-55,Female,,65.000-74.999 USD,2,Yes in crypto,Yes,Yes,/,8,Yes
7,18-25,Male,,45.000-54.999 USD,7,Yes in both crypto and stocks,No,No,7,3,Yes
8,46-55,Male,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,No
9,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,9,9,Yes
7,46-55,Male,,45.000-54.999 USD,7,Yes in both crypto and stocks,Yes,No,7,2,Yes
9,26-35,Female,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,9,Yes
8,36-45,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,7,7,Yes
7,26-35,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,7,7,No
5,18-25,Male,,35.000-44.999 USD,2,Yes in stocks,Yes,Yes,6,6,Dont know
10,26-35,Male,,65.000-74.999 USD,2,Yes in both crypto and stocks,Yes,No,10,8,Yes
8,26-35,Female,,>75.000 USD,2,Yes in stocks,Yes,No,6,6,Dont know
8,26-35,Male,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,No,9,9,No
8,36-45,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,No,7,7,Dont know
